
 Hello World -- Transpose 

size,ij, ji, block size = 10, block size = 110, block size = 210
300, 168672, 184468, 136288, 192614, 261674
600, 918513, 617990, 569877, 750952, 674287
900, 2042150, 1421882, 1182007, 1675099, 1777579
1200, 3145300, 2277132, 2048462, 2277523, 2150757
1500, 5405556, 3810206, 3505840, 3927996, 4508604
1800, 7713873, 5554773, 5606992, 6938587, 6491750
2100, 11036224, 8648740, 7858836, 9858832, 8325196
2400, 24287186, 15707541, 11798361, 12434376, 12971784
2700, 27026184, 18290824, 14065701, 16459423, 14292909
3000, 29071917, 20047648, 18860373, 20619948, 20192841
3300, 39226706, 23869480, 21238893, 21880334, 21657228
3600, 42387400, 27294544, 27804722, 28122115, 27185277
3900, 55877527, 36815844, 31241889, 31684152, 30778466
4200, 67391661, 43939432, 36730740, 41674644, 35395879
4500, 81333556, 59331319, 41825388, 44500144, 41275831
4800, 143632912, 97973222, 51500160, 53131972, 86120565
5100, 107947641, 88901870, 50760964, 57585129, 53689401
5400, 139116417, 99844893, 61244640, 69505701, 59662020
5700, 139549672, 117723132, 68606860, 65625643, 68167612
6000, 156283226, 131353939, 76986782, 80828517, 73666512
