Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 271
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  30123, 25395, 15240, 12567, 12390, 25380, 22779
30000,  34527, 31770, 17613, 15153, 16392, 21639, 21111
52000,  57582, 49629, 25401, 21687, 21498, 35142, 35778
86000,  101871, 95019, 36747, 20808, 23988, 61023, 64500
132000,  193470, 190407, 51081, 33420, 29154, 109494, 108489
190000,  305352, 276726, 71088, 46032, 38445, 159666, 160146
260000,  435516, 414210, 96858, 75783, 50586, 223557, 217218
342000,  639159, 627990, 154539, 97065, 77976, 344316, 315870
436000,  877785, 877155, 215583, 148869, 99927, 471198, 448773
542000,  1152795, 1140174, 264696, 197478, 141075, 602652, 578079

Sum of all results: 8.82464e+08
