Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 100
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  102216, 99195, 46572, 25557, 23325, 23058, 24375
24000,  120114, 119118, 58692, 29280, 25479, 25371, 27216
32000,  156228, 158001, 85869, 34344, 28488, 30768, 31791
44000,  217995, 218490, 125544, 45036, 42390, 38319, 40758
60000,  311121, 309984, 203172, 67899, 66024, 48471, 51201
80000,  444024, 430761, 305106, 93495, 88383, 61239, 62697
104000,  583128, 568743, 441879, 142455, 124908, 76773, 79197
132000,  747057, 729078, 606204, 193776, 190371, 108609, 108522
164000,  928029, 920220, 791784, 255675, 238581, 136797, 136806
200000,  1135692, 1121505, 997503, 324990, 292413, 165552, 167325

Sum of all results: 1.93886e+08
