Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 100
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  104724, 104379, 67662, 35796, 25521, 26628, 24207
24000,  116841, 124617, 90993, 40764, 26760, 27975, 26685
32000,  154005, 167244, 146070, 51195, 34329, 31251, 31818
44000,  213960, 226863, 215037, 66363, 42807, 41967, 39447
60000,  306867, 312054, 307161, 86805, 66381, 50391, 49806
80000,  431154, 446910, 423168, 112329, 89532, 66348, 62472
104000,  570387, 581562, 560586, 143328, 130269, 81708, 77862
132000,  730359, 743331, 721809, 193812, 190806, 109917, 108507
164000,  920679, 927420, 909279, 265005, 238815, 136617, 151494
200000,  1121892, 1136940, 1115478, 321423, 292206, 165621, 167406

Sum of all results: 1.30657e+162
