Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 271
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  104157, 103059, 67743, 37017, 23031, 21675, 27012
30000,  144126, 156738, 131463, 49743, 27738, 25287, 28122
52000,  259518, 269040, 268911, 77844, 53469, 40902, 44649
86000,  472728, 467862, 457047, 143241, 95703, 61290, 64131
132000,  730362, 731640, 721821, 193866, 191484, 109890, 108609
190000,  1066872, 1067727, 1057614, 309507, 277224, 158409, 161115
260000,  1474458, 1480626, 1464468, 438507, 409557, 222993, 222729
342000,  1946028, 1941741, 1933245, 637767, 621648, 345069, 321789
436000,  2481375, 2491137, 2477655, 879927, 872298, 466407, 438813
542000,  3097128, 3097323, 3087531, 1154421, 1138470, 598266, 572625

Sum of all results: inf
