Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 100
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  111006, 107367, 44919, 24258, 25569, 24195, 25554
24000,  127923, 124560, 56043, 26964, 24174, 20388, 27906
32000,  168744, 160344, 85491, 33423, 33168, 24285, 33063
44000,  233940, 225024, 132492, 46767, 44409, 32040, 40869
60000,  323526, 316374, 203367, 70641, 68082, 44517, 50988
80000,  446121, 438531, 302013, 97098, 91515, 59919, 63822
104000,  584268, 576951, 442674, 142707, 126060, 76548, 79182
132000,  748914, 738135, 604377, 197946, 202617, 111639, 111174
164000,  928680, 922281, 790941, 257949, 256824, 139635, 140607
200000,  1136982, 1132479, 992550, 325191, 314694, 170634, 171528

Sum of all results: 1.93886e+08
