Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 271
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  107994, 102897, 44820, 25557, 21714, 25470, 22992
30000,  156318, 149436, 79713, 33015, 29004, 23205, 22965
52000,  269766, 264690, 167868, 60666, 53598, 37041, 37905
86000,  482490, 472485, 339318, 104988, 98808, 64275, 64632
132000,  745056, 732324, 607377, 214110, 194364, 112308, 112860
190000,  1077273, 1068126, 935337, 308139, 281409, 163635, 164775
260000,  1485093, 1472193, 1338903, 432579, 423603, 227334, 222636
342000,  1952268, 1943148, 1813653, 637692, 639102, 331959, 319785
436000,  2498238, 2485137, 2355879, 879525, 880161, 468660, 445128
542000,  3106728, 3097521, 2966214, 1148037, 1147131, 601581, 578430

Sum of all results: inf
