Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 100
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  91392, 98463, 33798, 24234, 24183, 24216, 23142
24000,  103662, 116319, 40092, 26655, 26748, 21567, 19044
32000,  131826, 152238, 58875, 31848, 31956, 25446, 21597
44000,  172383, 205794, 85344, 43470, 39423, 29355, 27450
60000,  225741, 277566, 135234, 54969, 49776, 34455, 35202
80000,  316878, 393912, 205641, 67980, 62538, 43602, 48477
104000,  400566, 501363, 291825, 84753, 77889, 55530, 58242
132000,  487914, 630246, 397815, 106737, 95778, 73284, 73158
164000,  600900, 770019, 512283, 191097, 116208, 86844, 90906
200000,  724605, 931212, 645636, 223671, 139383, 105693, 109977

Sum of all results: 1.93886e+08
