Vector reduction (combine) examples
Testing 7 variants of combine(), on vectors of 10 sizes from 10 to 100
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
size, combine1, combine2, combine3, combine4, combine5, combine6, combine7
20000,  88896, 90987, 38469, 29388, 24318, 29256, 28155
24000,  101223, 106026, 45756, 35604, 20448, 24981, 30600
32000,  131283, 134601, 68907, 43602, 25857, 28200, 38085
44000,  175029, 178371, 102618, 53652, 36993, 34461, 48666
60000,  235500, 233016, 167244, 66606, 54834, 43050, 58671
80000,  341115, 335268, 258447, 90186, 74337, 57915, 71505
104000,  439518, 428181, 369360, 129198, 101355, 76605, 86838
132000,  548409, 529602, 510543, 164685, 150534, 103914, 106182
164000,  674712, 656574, 673755, 218670, 205269, 129513, 129555
200000,  826062, 798540, 861720, 270588, 231660, 159276, 152073

Sum of all results: 4.72275e+13
