reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
size, combine4, combine6_5, combine8,  combine8_4 
10000,  20174, 15667, 69460, 69132
17000,  27501, 25588, 67737, 68844
28000,  43147, 35812, 70792, 82276
43000,  76946, 50548, 76744, 76754
62000,  127718, 70804, 82723, 95827
85000,  175771, 90849, 91778, 80452
112000,  243796, 120770, 103826, 81825
143000,  338820, 150765, 112749, 85807
178000,  444835, 185796, 127639, 89786
217000,  565980, 225813, 146884, 111290

Wakeup delay calculated 0.072973
