reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4, combine8_8 
10000,  20208, 17668, 69638, 65037, 69045, 77090
17000,  58965, 25509, 67665, 68750, 69021, 84136
28000,  44320, 35539, 70737, 68856, 108304, 124022
43000,  78369, 50551, 76706, 71752, 73632, 157759
62000,  128299, 70821, 82689, 79130, 122714, 215791
85000,  177710, 90768, 91713, 82214, 100274, 279715
112000,  243117, 120736, 103675, 86714, 91682, 178680
143000,  333804, 150744, 112836, 91015, 92781, 261722
178000,  440805, 185834, 127672, 99460, 108686, 181800
217000,  565706, 225770, 147136, 104836, 136641, 291868

Wakeup delay calculated 0.072973
