reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4, combine8_8 
10000,  19428, 16730, 70152, 65678, 68644, 77241
17000,  25660, 22624, 67644, 68728, 68256, 77068
28000,  43624, 28872, 70735, 71344, 82773, 119774
43000,  77894, 37900, 76701, 72290, 76725, 151735
62000,  126244, 49831, 88065, 82375, 93936, 193912
85000,  174079, 61869, 91670, 79744, 272016, 260313
112000,  241320, 79941, 103732, 85713, 255868, 167116
143000,  340764, 97860, 112735, 92440, 392820, 249734
178000,  444607, 136908, 127639, 237014, 408648, 172826
217000,  556468, 159108, 142682, 263767, 571581, 276189

Wakeup delay calculated 0.072973
