reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4, combine8_8 
10000,  20232, 15744, 53460, 52648, 52924, 60588
17000,  26788, 25836, 57496, 55452, 57496, 68040
28000,  43365, 35572, 66693, 58442, 57770, 111909
43000,  77592, 50887, 75729, 64682, 61761, 132026
62000,  138132, 70840, 90684, 70824, 65565, 111820
85000,  177837, 90818, 108686, 79725, 73761, 172627
112000,  243194, 120780, 129698, 91807, 81254, 160416
143000,  333861, 158059, 150739, 100797, 85684, 164776
178000,  440870, 185920, 177686, 115742, 97747, 181058
217000,  558564, 225823, 207772, 136915, 118764, 139968

Wakeup delay calculated 0.072973
