reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4, combine8_8 
10000,  20265, 17680, 53376, 51753, 52540, 64636
17000,  26721, 23635, 57477, 54676, 55876, 64872
28000,  43600, 29892, 66744, 57583, 55845, 99892
43000,  77988, 38877, 75787, 63588, 59452, 132170
62000,  126686, 50896, 90787, 69984, 68824, 105031
85000,  174535, 80517, 114727, 78825, 67629, 155774
112000,  242169, 80894, 129729, 91178, 73178, 140793
143000,  343226, 98884, 150643, 99813, 76792, 161952
178000,  441033, 137335, 177782, 114775, 85785, 316730
217000,  557301, 304927, 207691, 269733, 92901, 535867

Wakeup delay calculated 0.072973
