dot product examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2
10000,  29049, 22848, 22740, 20832, 77817, 65164
17000,  42969, 31848, 28970, 29820, 67720, 68745
28000,  64905, 50013, 42976, 44020, 70749, 68844
43000,  110834, 71976, 61965, 62047, 76761, 71839
62000,  150712, 120842, 107505, 84933, 82730, 76459
85000,  219626, 153864, 141427, 111871, 91725, 80822
112000,  301922, 195804, 178008, 144746, 103687, 86762
143000,  395112, 240861, 219842, 182654, 112850, 92527
178000,  497215, 295048, 274574, 240907, 127735, 98853
217000,  622036, 351847, 330091, 278150, 142737, 104942

Wakeup delay calculated 0.072973
