dot product examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
testing option 6
testing option 7
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8
10000,  30189, 22802, 22826, 20961, 74325, 65227, 72225, 92217
17000,  43900, 32928, 28932, 30768, 67737, 68844, 118209, 124257
28000,  65901, 50056, 42943, 45057, 70764, 68976, 110164, 169860
43000,  111873, 71937, 61876, 62868, 76732, 71776, 141076, 199752
62000,  152148, 101025, 107889, 84955, 82773, 78436, 179078, 237741
85000,  221085, 153895, 137469, 111967, 91874, 80810, 225276, 283742
112000,  303009, 195859, 176056, 144926, 103761, 86817, 279057, 337754
143000,  395796, 240972, 219852, 183552, 112946, 94370, 341162, 399768
178000,  504052, 294892, 276141, 244680, 127785, 98973, 411084, 469526
217000,  616552, 356690, 330444, 278414, 142771, 104913, 489151, 552088

Wakeup delay calculated 0.072973
