Hello World!  SSE Test
testing option 0
testing option 1
testing option 2
size, Scalar, vecSSE, vecAVX
   10000,    59536,    15698,    23589
   17000,    93993,    29589,    29894
   28000,   161959,    50812,    43840
   43000,   232389,    72216,    72859
   62000,   325087,   107640,   101820
   85000,   427584,   150460,   144897
  112000,   551726,   199581,   202298
  143000,   696518,   249427,   245575
  178000,   861573,   316749,   317565
  217000,  1037241,   384489,   389282

Wakeup delay calculated 0.072973
