Hello World!  SSE Test
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
size, Scalar, vecSSE, vecAVX, Element_Add, Element_Multi 
   10000,    58449,    15657,    22790,    30076,    26800
   17000,    94874,    29599,    29613,    43903,    40888
   28000,   162120,    50728,    43972,    65911,    62928
   43000,   232521,    76156,    72792,   112828,   113563
   62000,   319560,   107584,   101664,   150744,   154048
   85000,   426717,   149760,   144708,   196744,   198912
  112000,   550934,   199536,   202140,   250756,   255619
  143000,   702031,   249516,   245404,   312732,   317337
  178000,   857947,   312679,   319987,   382754,   386092
  217000,  1039161,   384314,   389133,   465496,   462626

Wakeup delay calculated 0.072973
