Hello World!  SSE Test
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, Scalar, vecSSE, vecAVX, Element_Add, Element_Multi, dot_product 
   10000,    58468,    15662,    22538,    29769,    26769,    27427
   17000,    94920,    29599,    29606,    43860,    40982,    30544
   28000,   168588,    50856,    43941,    65872,    67351,    48604
   43000,   232495,    72175,    72806,   112843,   112908,    66624
   62000,   320457,   107306,   101692,   150751,   151192,    96849
   85000,   426439,   150036,   144381,   196773,   196996,   132933
  112000,   551013,   204292,   202274,   250744,   253185,   178951
  143000,   695133,   249170,   244701,   312760,   316476,   216861
  178000,   861955,   312763,   315499,   382723,   386102,   270871
  217000,  1038688,   384403,   393950,   460761,   467421,   330837

Wakeup delay calculated 0.072973
